domain,status,owner,date
mooo.com,public,josh,03/15/2001
chickenkiller.com,public,josh,01/02/2001
strangled.net,public,josh,01/03/2001
ignorelist.com,public,josh,02/20/2002
crabdance.com,public,josh,11/22/2005
twilightparadox.com,public,josh,07/30/2003
jumpingcrab.com,public,josh,11/21/2005
record-point.com.au,private,comlinkit,02/08/2018
my.to,private,an0nym,05/25/2014
privatedns.org,public,four2theizz0,10/08/2006
ftp.sh,public,n8walker,01/26/2006
mine.bz,public,carlb613,08/29/2007
southern.com.my,private,contrasts,03/17/2006
axsetubal.pt,private,kosmys,02/27/2008
yao.cl,private,joneryao,02/28/2012
barabesta.is,public,oseice,04/29/2025
undo.it,public,lyranet,08/24/2004
atamanco.eu,public,hondaj,09/20/2025
bot.nu,public,icekung,08/05/2004
info.gf,public,carlb613,08/31/2009
minecraftnoob.com,public,mrspyder,05/27/2012
destroyerkisscover.com.br,public,dacsolution,04/25/2011
home.kg,public,kuli,04/21/2004
panel-laboralcj.gob.mx,public,jobet,05/12/2014
root.sx,public,geoffrey,11/14/2012
pagostepeapulco.gob.mx,public,aazcue,06/02/2015
minecraftr.us,public,hockeymikey,09/15/2012
dynet.com,private,charlton,08/25/2009
farted.net,public,n8walker,03/11/2006
parisweb.it,private,mau76,11/27/2008
kalbas.com.vn,public,mwong,10/27/2011
mooo.info,public,dons,06/23/2004
pakasak.com,public,pakasak,06/28/2013
port0.org,public,tobywhite7,12/17/2007
afphila.com,private,afphila,01/11/2010
soon.it,public,lyranet,05/09/2009
serverpit.com,public,grog,11/02/2007
k.vu,private,kukuman,08/23/2004
verymad.net,public,limit,04/29/2004
1337.cx,public,darthflo,05/12/2005
heroinewarrior.com,private,heroineworshippe,03/16/2007
spacetechnology.net,public,jiso,11/30/2003
evils.in,public,carlb613,09/03/2007
nya.pub,public,trdaisuke,05/29/2015
cbu.net,public,raypatima,02/04/2013
hs.vc,public,xpuctoc,04/12/2008
h4ck.me,public,eliteluke,07/08/2009
minecraft.pe,public,avaixus,07/01/2021
404.mn,public,carlb613,09/25/2007
surfnet.ca,public,carlb613,11/14/2007
csproject.org,public,yngling,01/23/2006
zanity.net,public,zanity,08/16/2003
